Generaci�n,Fitness Promedio,Fitness M�ximo
0,-9999.0,-9999.0
1,-9999.0,-9999.0
2,-9999.0,-9999.0
3,-9999.0,-9999.0
4,-9999.0,-9999.0
5,-9999.0,-9999.0
6,-9999.0,-9999.0
7,-9999.0,-9999.0
8,-9999.0,-9999.0
9,-9999.0,-9999.0
10,-9999.0,-9999.0
11,-9999.0,-9999.0
12,-9999.0,-9999.0
13,-9999.0,-9999.0
14,-9999.0,-9999.0
15,-9999.0,-9999.0
16,-9713.83286848035,13384.704784611304
17,-8284.928705151448,18757.30033530523
18,-8270.603544556705,18786.378020422362
19,-6355.220941772557,31018.544639318734
20,-6602.211046709962,40051.86078884723
21,-3706.902335786253,45386.161069431415
22,-5719.730298433448,45386.161069431415
23,-4829.202823710319,51901.246123734134
24,-5480.560961015525,51901.246123734134
25,-6295.271888209841,51901.246123734134
26,-4790.362567152195,51901.246123734134
27,-5146.089188835006,51901.246123734134
28,-5119.114130604511,51901.246123734134
29,-6866.599350937106,51901.246123734134
30,-5346.328924388002,51901.246123734134
31,-2198.7059316248774,53839.95620466227
32,-5322.012086421887,53839.95620466227
33,-9220.476143845583,53839.95620466227
34,-5659.760647712109,53839.95620466227
35,-4208.960378986713,53839.95620466227
36,-5807.476517661187,53839.95620466227
37,-6429.612267875065,53839.95620466227
38,-4834.531617632813,53839.95620466227
39,-3709.6410643089202,53839.95620466227
40,-1694.5947227822264,53839.95620466227
41,-5335.726286155744,53684.30969463121
42,-4198.2893814745885,53983.07489882723
43,-2810.214603694215,54064.688061302666
44,-1059.8505111802485,54363.65444276569
45,-4991.258392603286,54465.10857756117
46,-6915.815361060933,54465.10857756117
47,-4797.266207584149,54465.10857756117
48,-1151.7891757715604,54465.10857756117
49,-1949.6031398433026,54982.958371568995
50,-4763.190447229493,54982.958371568995
51,-7856.390108569068,55138.21883593385
52,-5611.230842584197,55138.21883593385
53,-5511.864860388461,56855.21972021074
54,-4802.962553126935,56855.21972021074
55,-2427.137964696154,56855.21972021074
56,-5936.739066620188,56855.21972021074
57,-5629.70143338185,56855.21972021074
58,-3782.7653738634554,56855.21972021074
59,-4126.303677856038,56855.21972021074
60,-4689.617531580915,56855.21972021074
61,-4113.921430586595,56855.21972021074
62,-3358.1576871468087,56855.21972021074
63,-4589.859564480958,55034.577999366746
64,-5757.665304945667,55034.577999366746
65,-4713.384962384648,55034.577999366746
66,-2946.6585449835634,55431.593379872254
67,-7605.197803175405,55431.593379872254
68,-5525.494009539678,55747.45630974972
69,-2127.3591539604217,55747.45630974972
70,-5019.438987833517,55747.45630974972
71,-6405.966944376406,55747.45630974972
72,-1112.8902791858247,59696.51669112996
73,-6239.982738481013,54680.40831250225
74,-5554.401497997994,54680.40831250225
75,-7011.222390112029,56063.85986904325
76,-7017.768885584262,56063.85986904325
77,-7964.060422573153,54264.06976867759
78,-2553.07089800556,59778.239458753065
79,-4625.811420914242,59778.239458753065
80,-2272.4337350941473,59778.239458753065
81,-1237.53262554959,59912.50718506653
82,-2441.620820011761,59937.132693279986
83,-8024.69248119566,55784.26152172214
84,-1539.1739122591753,60095.95874421744
85,-2333.864498134019,60095.95874421744
86,-4077.2401359292166,60095.95874421744
87,-3072.697870877398,60095.95874421744
88,-5225.096547325964,60095.95874421744
89,-4004.6180231982726,60095.95874421744
90,-4410.153377281322,60095.95874421744
91,-4119.886605130976,60095.95874421744
92,-2440.749227187977,60095.95874421744
93,-4283.90741668211,61029.94407030874
94,-1923.024032698841,61029.94407030874
95,-6441.506689535178,55142.58726727058
96,-7065.493782835929,55142.58726727058
97,-1629.8386867791564,55834.21517424732
98,-2537.1980889418087,55834.21517424732
99,-2971.3101261032903,55336.64493546377
100,1415.1585378171792,59836.100780784094
101,-6962.920557389841,59749.80787542961
102,-7330.200457443571,53663.48452492919
103,102.61107483954761,53941.23825545315
104,-4331.149399179554,55644.851849363346
105,1000.0113357543532,56089.53147276692
106,-5309.4202624603895,55644.851849363346
107,-7094.2240069749905,55644.851849363346
108,-501.4893955373527,56223.76080412753
109,-4265.233320800234,56223.76080412753
110,-3574.759693328413,56223.76080412753
111,-2833.008462587772,56223.76080412753
112,-7256.66475961822,55455.38634688936
113,-2490.189808357365,55607.93575557412
114,-5976.148319567274,57447.09477318712
115,-6217.04144048536,57447.09477318712
116,-8717.317428024742,47941.1133711464
117,-4410.552087803977,47941.1133711464
118,-6779.531581096638,47941.1133711464
119,-7546.009380630061,47941.1133711464
120,-6727.844450593336,47941.1133711464
121,-4953.563805645511,47941.1133711464
122,-6340.667440288301,47941.1133711464
123,-5988.19117401432,49391.5219299107
124,-5212.796276226864,49391.5219299107
125,-4941.4571811687965,50108.59888236408
126,-9311.769850102386,46353.87229160426
127,-4860.811965832534,49039.077830446564
128,-5255.585193741885,49039.077830446564
129,-6018.596203520453,49039.077830446564
130,-4774.463204548986,49039.077830446564
131,-4054.0852817952677,53303.46651934514
132,-7811.889977392318,53303.46651934514
133,-6195.137326437917,53303.46651934514
134,-4493.2852901951355,53303.46651934514
135,-6327.185168015891,56188.97439344986
136,-2067.6102880953613,56523.10483476175
137,-6224.649637860368,56523.10483476175
138,-4445.816113602333,56523.87703553395
139,-4845.289272686737,56523.87703553395
140,-5428.735846312735,56523.87703553395
141,-5737.372947620893,56523.87703553395
142,-7251.657358099434,56523.87703553395
143,-1681.6693311645745,56523.87703553395
144,-6901.0243945816055,56523.87703553395
145,-6510.267607148349,56523.87703553395
146,-5436.0500585627815,55033.95307493858
147,-7660.268264372127,55033.95307493858
148,-6385.349513538908,55033.95307493858
149,-4941.517038153968,55033.95307493858
150,-2781.9211411465894,55033.95307493858
151,-5690.990308853674,55033.95307493858
152,-7807.520839245797,55033.95307493858
153,-4618.0557230901695,55033.95307493858
154,-5758.047898093408,55021.80152572297
155,-3384.1204374982876,55021.80152572297
156,-5476.830686385634,55021.80152572297
157,-5386.856668726576,55021.80152572297
158,-843.3283381383685,57911.23969802716
159,-3259.2833183882667,57925.79809054851
160,-5297.700721846072,57925.79809054851
161,-5603.263513663654,57925.79809054851
162,-4896.911242502614,57925.79809054851
163,-469.09298715253146,57925.79809054851
164,-3445.331174915263,57925.79809054851
165,-6664.797749932929,57925.79809054851
166,-4644.32027503393,57925.79809054851
167,-6050.294823056751,57925.79809054851
168,-4602.239484716098,57925.79809054851
169,-3001.202947661955,57925.79809054851
170,-4293.78877490546,59829.81045265341
171,-4774.453477730277,59829.81045265341
172,-5961.028766209976,61828.85426346084
173,-1263.5129221555974,61828.85426346084
174,4568.884736556955,61828.85426346084
175,-3525.5041202261223,61828.85426346084
176,-4066.1072618719063,61828.85426346084
177,-1793.6497304810466,61828.85426346084
178,3932.886272065148,62240.253832082024
179,-1295.528589141843,62233.30931658129
180,-4106.556172308344,62233.30931658129
181,868.3010853061094,62233.30931658129
182,-1337.836548210745,62233.30931658129
183,-3293.7196894535964,62233.30931658129
184,-1703.0886848575444,62233.30931658129
185,266.1188592793546,62600.88665942014
186,-2606.212281275615,62600.88665942014
187,-4571.037510139494,62513.231082414924
188,-3632.49112485219,62513.231082414924
189,-3397.390368749274,62513.231082414924
190,-5475.000197668378,59675.13239225743
191,-1904.8247924459847,59675.13239225743
192,-4562.353248543748,59675.13239225743
193,-2698.066313772608,59675.13239225743
194,-6068.932142889414,59675.13239225743
195,-3087.750931082928,59675.13239225743
196,-4606.351575656394,59675.13239225743
197,-4831.179295099809,59675.13239225743
198,-1824.8234326708912,59675.13239225743
199,-1586.4580932993297,59678.85164443711
200,-5918.394213263836,59678.85164443711
201,-2208.5303477155708,60353.41088741475
202,-4337.300237721791,60353.41088741475
203,-7760.524942485763,60353.41088741475
204,-4501.504043108324,60353.41088741475
205,-2461.7646541331405,60353.41088741475
206,-2393.36810293925,60898.92451994179
207,-904.8645519518326,60898.92451994179
208,-1539.591778739441,60898.92451994179
209,-4687.238296921197,60898.92451994179
210,-4609.062493971131,51677.05521980691
211,-1562.309056622165,51677.05521980691
212,-5097.028987658914,54538.52919357357
213,-7878.9075952740795,53692.92406750845
214,-5046.944424546674,58115.181964068644
215,-4039.651274557814,58115.181964068644
216,-3873.9176147013545,58115.181964068644
217,-2402.25590273835,58115.181964068644
218,-2203.4831209054587,58933.27642109225
219,-2423.427000247478,58933.27642109225
220,-6146.789521742157,58933.27642109225
221,-2539.1485769483206,59771.13792209026
