Generaci�n,Fitness Promedio,Fitness M�ximo
0,-9999.0,-9999.0
1,-9999.0,-9999.0
2,-9999.0,-9999.0
3,-9871.342234470965,21915.441382258723
4,-8342.171856420991,21915.441382258723
5,3955.4576662462064,35182.61415652071
6,10200.307389505379,35633.89823225669
7,16858.955969692463,41916.5527365867
8,17140.557533830193,42135.39774011583
9,17829.945414166603,42558.82792466122
10,20301.202006610092,44863.700363711905
11,22121.663314401307,45583.99406363136
12,24535.395620811014,45797.6784771368
13,23219.67449458627,49280.75151336603
14,23630.125569648957,50902.88622071263
15,24064.877181686807,50902.88622071263
16,25255.433350831998,51528.32579073031
17,24608.0670019544,54633.563142553714
18,27904.45768721494,54862.72980922038
19,28357.74138361354,54862.72980922038
20,27408.510921823647,55224.21087440447
21,29535.163242968378,55224.21087440447
22,29861.36436752508,55224.21087440447
23,27685.305283760405,56134.31728868191
24,24769.10520667486,56423.54884985742
25,23860.752116574677,57401.11410777607
26,29960.9749795331,57868.695183662574
27,30452.548376936644,57868.695183662574
28,28238.528225220944,57868.695183662574
29,28468.22750573062,57868.695183662574
30,29342.729040885744,57868.695183662574
31,28035.832682439428,57990.81584947742
32,30191.701025611983,58712.913914443074
33,30065.25718712278,58712.913914443074
34,31496.001410650726,58712.913914443074
35,31429.017957803364,58806.7828376166
36,30032.65337769002,58806.7828376166
37,28056.83834691575,58806.7828376166
38,29050.17356965844,58806.7828376166
39,33258.87805799236,58806.7828376166
40,29674.35142558616,58806.7828376166
41,31610.199845406627,58806.7828376166
42,30674.72779237769,58806.7828376166
43,32409.01444942107,59273.50814685997
44,30086.924539143114,59273.50814685997
45,34545.85185671478,59273.50814685997
46,32560.201404113945,59656.68817092871
47,30357.65130788809,59656.68817092871
48,34563.00363082073,59656.68817092871
49,26129.541514682838,59656.68817092871
50,25751.02558589398,59656.68817092871
51,33937.43696078511,59656.68817092871
52,35362.91676785604,59656.68817092871
53,32373.016472050673,59656.68817092871
54,31333.055294721402,59821.39387162402
55,29548.308709376677,59821.39387162402
56,28287.324948982663,59821.39387162402
57,27514.666651853266,59821.39387162402
58,30440.25639295758,59821.39387162402
59,29272.48886373162,59825.64583104393
60,29636.143158034585,59825.64583104393
61,32124.52994393214,59825.64583104393
62,31734.59373983887,59825.64583104393
63,29245.814910106434,59825.64583104393
64,31457.68041011842,59825.64583104393
65,32555.95892697413,59825.64583104393
66,28546.877298999956,59961.85548055753
67,29425.588549060703,59961.85548055753
68,31335.558539998474,59961.85548055753
69,30799.820937283752,59961.85548055753
70,30069.46066959522,59961.85548055753
71,30110.032090340086,59961.85548055753
72,31182.20339328195,59961.85548055753
73,28464.988356656337,59961.85548055753
74,29402.333987464986,59961.85548055753
75,31006.0900462084,59961.85548055753
76,26908.514094800852,59961.85548055753
77,24726.395043272485,59961.85548055753
78,32578.997869198658,59970.95732587372
79,30395.397234934608,59970.95732587372
80,29965.180161089662,59970.95732587372
81,30092.03808969295,59970.95732587372
82,31477.075263317434,59970.95732587372
83,30409.34068000261,60006.71362240242
84,27968.64475308593,60006.71362240242
85,32263.04903203532,60006.71362240242
86,30632.578624319096,60006.71362240242
87,32966.06465994535,60066.46961531204
88,30636.54652599484,60066.46961531204
89,29849.199657486504,60066.46961531204
90,32834.86544099985,60066.46961531204
91,30718.82530494384,60066.46961531204
92,30330.167676853773,60066.46961531204
93,27802.053895716803,60066.46961531204
94,35016.552855869886,60066.46961531204
95,30211.11151655826,60066.46961531204
96,29119.283162391683,60066.46961531204
97,31772.246279371542,60066.46961531204
98,32029.829354930698,60066.46961531204
99,30858.469276671934,60066.46961531204
100,28297.373040528717,60066.46961531204
101,32564.753107812696,60066.46961531204
102,29573.377072155912,60066.46961531204
103,31778.563532971555,60066.46961531204
104,30070.058988719815,60066.46961531204
105,28918.97136313821,60066.46961531204
106,26530.542745280844,60066.46961531204
107,31739.758220540243,60066.46961531204
108,31472.851749189762,60066.46961531204
109,32105.688380486205,60066.46961531204
110,29014.89318873576,60066.46961531204
111,33205.9208003509,60066.46961531204
112,31206.535412968384,60066.46961531204
113,28424.890339809463,60066.46961531204
114,28266.635006139644,60066.46961531204
115,26622.350959940137,60066.46961531204
116,30878.13056649528,60066.46961531204
117,29974.51617979664,60066.46961531204
118,33212.57356106566,60066.46961531204
119,28759.16113673375,60066.46961531204
120,30139.31212633038,60066.46961531204
121,29885.756404930904,60106.29852557318
122,27235.37342735335,60106.29852557318
123,31576.344369457263,60106.29852557318
124,32487.597821003343,60106.29852557318
125,29960.044183436472,60106.29852557318
126,32311.673702346277,60106.29852557318
127,33920.84793775595,60106.29852557318
128,33775.54815672925,60106.29852557318
129,32260.172066088104,60106.29852557318
130,35035.653840587554,60106.29852557318
131,30095.759306779022,60106.29852557318
132,32221.24920261714,60106.29852557318
133,31974.872258530202,60106.29852557318
134,31207.411648701924,60106.29852557318
135,32219.27141022191,60106.29852557318
136,34119.882813579396,60106.29852557318
137,33858.35763726287,60106.29852557318
138,33832.94782171281,60106.29852557318
139,33871.88154364636,60106.29852557318
140,28301.544823624346,60106.29852557318
141,28641.766492556882,60106.29852557318
142,33033.709249959305,60106.29852557318
143,33114.613171880075,60106.29852557318
144,30018.893751488904,60106.29852557318
145,31071.629926002883,60106.29852557318
146,28852.345040190154,60172.70702701899
147,30785.07934659514,60455.23612194514
148,27292.453997517314,60455.23612194514
149,29272.892169260514,60455.23612194514
150,34185.91483769835,60455.23612194514
151,33841.25507922346,60455.23612194514
152,25841.433761206994,60455.23612194514
153,33721.81053314054,60455.23612194514
154,32748.8902491131,60455.23612194514
155,28961.75368689143,60455.23612194514
156,30664.297973105306,60455.23612194514
157,32962.748337025994,60455.23612194514
158,33885.662004945036,60455.23612194514
159,30985.837496481523,60455.23612194514
160,33620.87271648246,60455.23612194514
161,29984.59875467756,60455.23612194514
162,29192.5421875506,60455.23612194514
163,31497.915575451832,60455.23612194514
164,31233.905410633157,60763.47910922868
165,32699.44038034489,60763.47910922868
166,31276.943240238565,60763.47910922868
167,26901.922234198435,60763.47910922868
168,27721.465436124483,60763.47910922868
169,37155.14192434414,60763.47910922868
170,32905.28907622423,60763.47910922868
171,32397.940220478464,60763.47910922868
172,34356.486130340476,60763.47910922868
173,28135.420154502895,60763.47910922868
174,32087.60920835893,60763.47910922868
175,31308.524627871382,60763.47910922868
176,27091.611216264875,60763.47910922868
177,29317.432475651876,60763.47910922868
178,32911.03148912903,60763.47910922868
179,29470.820884935627,60763.47910922868
180,34344.57706729618,60763.47910922868
181,31734.21114709247,60763.47910922868
182,31874.759977876005,60763.47910922868
183,28612.391176122208,60763.47910922868
184,27268.854828328193,60763.47910922868
185,32372.413731472338,60763.47910922868
186,32705.487731610603,60763.47910922868
187,33965.31289812909,60763.47910922868
188,33233.37965423173,60763.47910922868
189,29802.633886312742,60763.47910922868
190,33055.223842932304,60763.47910922868
191,31047.24219473458,60763.47910922868
192,34007.66777817329,60763.47910922868
193,33491.24296183836,60763.47910922868
194,31610.071076702687,60763.47910922868
195,30430.328200739066,60763.47910922868
196,33083.84130337852,60763.47910922868
197,28813.186158440403,60763.47910922868
198,33572.9485347993,60763.47910922868
199,29864.80756379293,60763.47910922868
200,33427.990986747995,60763.47910922868
201,28851.93084598259,60763.47910922868
202,27510.952471672885,61304.41318163964
203,29250.30150472037,61304.41318163964
204,33227.81657995248,61304.41318163964
205,31118.621211846843,61304.41318163964
206,35853.34533216637,61304.41318163964
207,30411.703787694765,61304.41318163964
208,36772.61970723937,61304.41318163964
209,35565.89354276532,61304.41318163964
210,30536.815581206316,61304.41318163964
211,31611.900627697985,61304.41318163964
212,35323.23403957376,61304.41318163964
213,31287.48543382008,61304.41318163964
214,31616.461357109445,61304.41318163964
215,33261.74500188354,61304.41318163964
216,34864.27868112434,61304.41318163964
217,33248.482071555496,61304.41318163964
218,29613.999424792528,61304.41318163964
219,33729.95943456022,61304.41318163964
220,34004.56917779309,61304.41318163964
221,33162.55295080374,61304.41318163964
222,28919.88548994216,61304.41318163964
223,31413.068872991047,61310.69792351511
224,34537.04929815751,61310.69792351511
225,32558.447250344972,61310.69792351511
226,31426.179206684665,61310.69792351511
227,34005.94352707867,61310.69792351511
228,29745.593030792974,61310.69792351511
229,29765.228687878687,61310.69792351511
230,34482.77826059878,61310.69792351511
231,29834.792788812065,61310.69792351511
