Generaci�n,Fitness Promedio,Fitness M�ximo
0,-9999.0,-9999.0
1,-9999.0,-9999.0
2,-9999.0,-9999.0
3,-9999.0,-9999.0
4,-9999.0,-9999.0
5,-9999.0,-9999.0
6,-9999.0,-9999.0
7,-9566.388766939072,33262.12330609286
8,-8604.663633103934,36641.84222565552
9,-7312.534113611802,44200.366724225234
10,-7659.3004648081715,39749.4944031155
11,-7124.260063290093,40321.14502454558
12,-5874.47862274267,40493.74103124368
13,-7986.87975945081,40429.187130174316
14,-6798.095774184797,40823.31721572067
15,-6561.147666027224,40823.31721572067
16,-5855.2238977125935,41411.551683056365
17,-5705.064511037469,41479.16731636503
18,-5469.444218585836,44345.42360130532
19,-5789.67964948787,44386.63239251412
20,-4714.56736407749,44386.63239251412
21,-5807.408628387796,44386.63239251412
22,-5696.495138883358,44452.566458448186
23,-7925.262918257202,44872.50617350293
24,-8031.131591915886,43912.80550439584
25,-7101.561077163181,43912.80550439584
26,-6194.045785101146,43912.80550439584
27,-5964.290534616562,44712.57537593979
28,-4854.99678296519,48483.57436878645
29,-7645.049853770504,43892.40009302675
30,-6781.324100285332,45966.97471194927
31,-5371.484370941947,47674.79406165318
32,-3859.2740498321764,47674.79406165318
33,-2480.4734386148502,50896.58007565474
34,-5746.865262226982,50896.58007565474
35,-6274.631327053923,49458.16610707611
36,-4212.000946575052,50840.40643285563
37,-7315.668154462555,50840.40643285563
38,-7362.002318108757,50840.40643285563
39,-5957.086978662018,46401.295375531074
40,-4866.722855548594,46401.295375531074
41,-6767.704615666089,46401.295375531074
42,-3345.775127342551,46401.295375531074
43,-6951.008099368733,46697.58726840307
44,-5563.529674851237,45255.01931924587
45,-5228.093305171784,43457.13982797912
46,-4727.00018347622,47602.12718961911
47,-2528.469787257051,47602.12718961911
48,-2248.13967104665,49000.931585869694
49,-6235.914193557039,48174.19912621438
50,-5552.8294077072815,48460.08472754555
51,-5143.753121806262,49008.83056463203
52,-2885.1198220215297,49008.83056463203
53,-6125.417531548599,49008.83056463203
54,-3454.914416631386,49008.83056463203
55,-6482.085222884952,52968.28690348198
56,-7256.82915338982,52968.28690348198
57,-5259.072635935499,50963.37907594594
58,-5760.18088735762,50963.37907594594
59,-5292.6474943191515,49145.07491368546
60,-6266.458221802292,49145.07491368546
61,-6027.6614133301955,49145.07491368546
62,-6613.947919725079,45152.5585477593
63,-5481.264267419774,49386.11095748455
64,-2451.9314138439277,49386.11095748455
65,-4489.80872786703,50662.90285768094
66,-3500.5523689448455,50662.90285768094
67,-6021.267405863262,50662.90285768094
68,-5650.333676246856,50662.90285768094
69,-5082.902253538378,50662.90285768094
70,-7331.659440226845,50662.90285768094
71,-6372.8987740722505,50662.90285768094
72,-5211.6903981724645,50662.90285768094
73,-5132.563836082865,50662.90285768094
74,-4926.572192847856,50662.90285768094
75,-5511.538490614846,53094.032325859196
76,-5260.358698654676,53094.032325859196
77,-3501.4968137597607,53094.032325859196
78,-7021.857768128082,44410.213046693454
79,-8013.510209070981,43380.964581983346
80,-7851.259468877639,39143.03148724504
81,-5716.040055450037,37944.36640757103
82,-4564.089205170847,39473.84229697885
83,-5013.49054944261,42805.5689261357
84,-5141.3304611220365,45236.44060576096
85,-5845.862589312825,44957.89567215955
86,-6570.388075680795,47158.75210668855
87,-6600.106615889878,45674.84759218728
88,-4543.754964177799,45674.84759218728
89,-4379.233456010406,45674.84759218728
90,-6058.013520478095,45149.78164283205
91,-8697.253747086208,38308.348018844445
92,-7617.188407778928,37940.05722012652
93,-5827.881562474587,45173.54770126121
94,-7196.406558737201,43588.468804041295
95,-4011.036146706842,43588.468804041295
96,-5781.0847183966225,43588.468804041295
97,-5068.714465745788,43588.468804041295
98,-6673.708614326503,40945.147863875616
99,-4283.489282873678,46564.9242249218
100,-5250.690342592762,47978.23811433305
101,-4814.390883437795,46334.03148633489
102,-6072.580911727315,46334.03148633489
103,-4480.446979790602,45111.8385509107
104,-5524.252488170683,45111.8385509107
105,-5714.831211653392,48043.979492810846
106,-6657.968726953179,48043.979492810846
107,-7141.642659311951,44977.82827561627
108,-6821.786184226671,44977.82827561627
109,-6624.898438322821,44846.80188148953
110,-4560.284685787087,44846.80188148953
111,-5420.180629400698,44846.80188148953
112,-4954.711578279813,46420.2683985504
113,-3759.959863959764,49899.820725044345
114,-5841.170618896364,49899.820725044345
115,-8067.17014157355,50109.12016407838
116,-6357.648499627977,50109.12016407838
117,-3724.56378018685,47958.22381732172
118,-5313.319496693101,43797.15699526393
119,-7794.846164170877,43797.15699526393
120,-5530.029900078973,48850.84493004983
121,-3146.1440990483507,48882.752278078704
122,-7389.678431455781,48756.58832693097
123,-5428.241613682396,48756.58832693097
124,-5347.630150119245,48756.58832693097
125,-7065.957558639974,45976.88133699928
126,-6221.155983994737,45976.88133699928
127,-4108.098792867149,48202.60324602845
128,-7088.279741206424,42323.60111903458
129,-8106.299780135275,41211.60570287209
130,-7668.304397557708,41416.72096802494
131,-6919.492084055915,41416.72096802494
132,-6352.500022515306,41211.60570287209
133,-7905.908744534921,41211.60570287209
134,-8282.616376368182,39789.35890633737
135,-7711.036229320353,47774.37048114017
136,-5532.778629161866,48983.79885216044
137,-345.57981746060136,53865.92557259834
138,-6000.474057082473,44289.717272449
139,-8046.105261744769,50585.6742509191
140,-7735.979418438793,50585.6742509191
141,-8675.309595152117,50585.6742509191
142,-6367.032150055677,50585.6742509191
143,-6224.568936654523,50311.98984964679
144,-5631.881290699938,50805.80078430696
145,-6504.740268496938,50805.80078430696
146,-6648.073796777558,47069.314333233335
147,-4082.2822568876536,43996.31236141946
148,-4060.1933731493646,46138.5528982324
149,-3338.75389255533,46138.5528982324
150,-5924.444016594129,46138.5528982324
151,-4500.986465514279,48724.16086335607
152,-4945.113850078064,46647.56757446869
153,-4709.271895709886,46647.56757446869
154,-2175.552261555888,48255.18035082096
155,-6951.816541565355,48255.18035082096
156,-6017.48399164176,47901.34412575067
157,-7253.775683724675,47901.34412575067
158,-5997.122212867237,41215.634481341905
159,-6532.346786912687,41215.634481341905
160,-6728.322033989232,36851.220589403776
161,-4596.134520894545,38406.86942495674
162,-6532.066415092406,42612.68504151763
163,-5427.545923930173,42612.68504151763
164,-7476.616067486538,42612.68504151763
165,-5370.742601144676,42278.54343934959
166,-6186.306949636457,35617.60552846425
167,-6369.178097587589,44178.537778463186
168,-4477.3827868163835,44178.537778463186
169,-4407.689285513019,45289.91718014875
170,-5880.436298033943,41022.94681718426
171,-6911.54989451848,41022.94681718426
172,-7258.020071069422,36806.348068874664
173,-8187.31170176153,44372.410778837424
174,-7409.452015140201,43586.99021021753
175,-6503.354764104009,43586.99021021753
176,-6261.950752539854,39454.55432542242
177,-5125.227044005958,48130.80989129042
178,-5802.09830634209,48130.80989129042
179,-6963.509656166176,48130.80989129042
180,-5160.381646857414,48282.56803495593
181,-4555.670318563454,48595.48683208135
182,-4625.643077800779,45051.35182631598
183,-5328.972051157272,45217.991109342816
184,-5995.529954603349,45217.991109342816
185,-6006.074578037735,50839.80367198247
186,-5149.7082230965125,50839.80367198247
187,-5889.383741764239,49954.84765728313
188,-6818.634463626829,46025.356576225924
189,-7933.952462752936,48485.87673113353
190,-7283.6844611456045,42048.19844498665
191,-6905.323876659797,41454.42305863354
192,-7620.153089289068,41454.42305863354
193,-4823.659469135086,42400.21662966063
194,-5129.756670238813,42400.21662966063
195,-3063.554885326164,43989.293729444405
196,-5894.343022269816,43989.293729444405
197,-5655.026137717667,41746.207104294255
198,-8303.93209853158,41730.3586550451
199,-8142.401804285063,44894.48358335155
200,-6538.726802593135,44894.48358335155
201,-5497.291922209538,44894.48358335155
202,-5005.4175758778465,47867.43844910283
203,-7796.570483629822,40790.30040092904
204,-5759.2863824592,41552.51580825781
205,-6701.5731600555055,48076.48021541581
206,-5843.743136035572,48076.48021541581
207,-5687.923476824848,48076.48021541581
208,-5405.803067928305,50999.41786140475
209,-5644.334467469639,49838.52505502932
210,-6911.909501661633,49838.52505502932
211,-5255.932679703075,49838.52505502932
212,-5221.238818975293,47953.799854145014
213,-5366.916774495135,45813.37565607834
214,-6055.7158346368,47935.38716275966
215,-4158.55380519638,46457.859215029
216,-6037.880301546705,45647.84385556714
217,-5827.463699373158,45647.84385556714
218,-4816.54473709732,45647.84385556714
219,-7089.767980995286,45023.78504935008
