Generaci�n,Fitness Promedio,Fitness M�ximo
0,-9999.0,-9999.0
1,-9847.130555669717,27968.361082570696
2,-9832.862947164587,31535.263208853255
3,-9512.883783010197,34639.08884238015
4,-8873.690088973153,32826.20071880425
5,-7350.226375283415,38018.57704843215
6,-7572.854507489469,41918.97935287727
7,-6828.924919296998,41918.97935287727
8,-6447.621960291878,43989.26582139931
9,-5078.408723024099,47336.77728984226
10,-5714.756874795185,44501.10376662351
11,-3824.660186784427,49704.73600793217
12,-5960.561318405747,49774.38883814722
13,-4984.067215756647,49704.73600793217
14,-5792.140918732696,51206.51387805303
15,-6499.988872844984,47199.97410567202
16,-5450.262714608947,45522.62390979909
17,-4613.715777086306,45522.62390979909
18,-4482.711433350776,46571.01829284267
19,-5492.859855556989,49017.27349441305
20,-6225.106160995889,46893.497117079045
21,-5907.1034177238525,46893.497117079045
22,-6340.560935306587,46893.497117079045
23,-4556.89490691118,49519.58011012211
24,-5146.436340887133,49519.58011012211
25,-4625.472092996989,49519.58011012211
26,-5985.881856757172,49519.58011012211
27,-4993.125879011095,49745.53655041607
28,-5713.425486648199,49745.53655041607
29,-3286.0328790993794,49745.53655041607
30,-3368.1866999994936,52980.305225712415
31,-5549.727067362512,48782.210106337334
32,-3905.3647332631745,51896.057311801145
33,-5085.82756127077,48692.828093212695
34,-7750.107326405408,44784.59936245196
35,-6385.308250377066,47949.99334299594
36,-6521.651052660061,47128.27792656626
37,-5126.126713689146,50371.17384715882
38,-3252.7842057301045,51766.25845736984
39,-4757.837395705152,51031.977286479465
40,-5709.35197084896,51457.22690868246
41,-4413.547755004594,53794.29487678794
42,-5003.824573825467,52579.689086715916
43,-4375.3801198279625,52373.249597398455
44,-865.723673371495,53460.694011417785
45,-5367.8056709067605,51963.75197977344
46,-5175.417345398394,52113.32290987841
47,-4231.5304123603355,55016.921303826995
48,-5224.094010021828,49410.07029388033
49,-5254.758500915816,49827.21715965284
50,-4912.889130946176,52103.59124536026
51,-3971.4488753290493,52103.59124536026
52,-3752.6969832602217,52103.59124536026
53,-3811.8455131287005,52103.59124536026
54,-4389.120898048714,52103.59124536026
55,-2557.987178643324,53557.431398838686
56,-3116.764410410502,52861.7720008837
57,-4085.030019788551,52252.57571208716
58,-4253.723509750579,54949.695078355566
59,-4822.397229905742,54949.695078355566
60,-6219.112495589624,51333.75892475945
61,-2344.42674003032,54334.25748212056
62,-2690.6635615359287,54334.25748212056
63,-1779.3053728792415,54334.25748212056
64,-4135.348460631213,54334.25748212056
65,-5187.826284297518,54533.083386320825
