Mueble,Ancho,Profundidad,x,y,Rotacion,Bounding Box,Requiere toma
Mesa con sillas,95,160,207,85,90,"(107.0, 17.5, 307.0, 152.5)",False
TV,145,8,7,247,90,"(0.0, 164.5, 91.0, 329.5)",True
Biblioteca,60,40,368,132,270,"(308.0, 97.0, 393.0, 167.0)",False
Sillón,180,80,132,246,90,"(32.0, 156.0, 172.0, 336.0)",False
Escritorio,120,60,302,252,180,"(237.0, 162.0, 367.0, 287.0)",True
Lampara,30,30,74,113,0,"(54.0, 93.0, 94.0, 133.0)",True
Cuadro,50,3,393,275,270,"(371.5, 250.0, 394.5, 300.0)",True
